time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.653081,0.411794153497,-0.657303840078,-0.280823751781,1.34486795443,-0.759540311666,-0.874987917044,0.543037013486
0.663065,0.4121771574,-0.656284200653,-0.280092229088,1.34561728381,-0.759163780015,-0.874682232247,0.542811944498
0.673049,0.412262961434,-0.655195522837,-0.279052470137,1.34644888742,-0.758698776192,-0.8745129283,0.542492760606
0.683033,0.412273869195,-0.654376268543,-0.278062854808,1.34729694841,-0.758268813716,-0.874547049865,0.54252687823
0.693017,0.41226378894,-0.653763108576,-0.277610245073,1.34815845244,-0.757931997425,-0.874671307736,0.542825750906
0.703001,0.412455782695,-0.653313898491,-0.277426988684,1.34912760278,-0.757782696153,-0.874893331209,0.543234201934
0.712985,0.412811262102,-0.652947821589,-0.277001006351,1.35014776007,-0.757928787256,-0.87543198103,0.543670304373
0.722969,0.412931720296,-0.652539488413,-0.27627535417,1.35098866439,-0.75819959569,-0.876410621513,0.544042455247
0.732953,0.412553353019,-0.652096235611,-0.275692382491,1.35155044169,-0.758092555811,-0.877497898001,0.544230262475
0.742936,0.412142205794,-0.651887998382,-0.275206982253,1.35222162663,-0.757820180678,-0.878213230363,0.544481185917
0.752920,0.4119180653,-0.651691113792,-0.274854099285,1.35317078239,-0.758011341298,-0.878876433683,0.545075977471
0.762904,0.411652661209,-0.65133974515,-0.274288592269,1.3539882855,-0.758441163252,-0.879790144973,0.546007147024
0.772888,0.411388575702,-0.650696708866,-0.273839223242,1.35475097284,-0.758689833691,-0.880869554402,0.547610485761
0.782872,0.411016080976,-0.650007243233,-0.273276522377,1.35541548519,-0.758718246884,-0.882030483747,0.549398501991
0.792856,0.410589975154,-0.649543823759,-0.272504616963,1.35607473064,-0.75876590528,-0.883145761105,0.550732972594
0.802840,0.410162116053,-0.649360192518,-0.27169498789,1.3567685554,-0.758921062341,-0.884326390941,0.551427109143
0.812824,0.409740351671,-0.64928182548,-0.271069547663,1.35747401371,-0.758975875847,-0.885862228178,0.551731803763
0.822808,0.409315789694,-0.649051930436,-0.270654422251,1.35825042387,-0.758638540902,-0.88782833555,0.551903971334
0.832792,0.408678518863,-0.648463740421,-0.270339202715,1.3592161753,-0.757864181904,-0.88977491989,0.551942858751
0.842776,0.407874493117,-0.647795344192,-0.269758249604,1.36023388666,-0.757157945295,-0.891654249323,0.551709561177
0.852760,0.407112549422,-0.647637885676,-0.269298526271,1.36097872993,-0.756379177914,-0.893968741106,0.551520170659
0.862744,0.406452689661,-0.647480009157,-0.268737629099,1.36170910897,-0.75551353885,-0.896856772591,0.551545077756
0.872728,0.405696410986,-0.647050410571,-0.268152363475,1.3624757516,-0.754547104527,-0.90010008698,0.551784176031
0.882712,0.404838513636,-0.646416269949,-0.26753446056,1.36306934876,-0.753519390313,-0.903469701812,0.552004390368
0.892696,0.404105393771,-0.645761112731,-0.266974428223,1.36343156926,-0.752508897141,-0.90681996801,0.552118427565
0.902680,0.403554442559,-0.645148757242,-0.266527842198,1.36366003069,-0.751537120699,-0.910099891044,0.552212519515
0.912663,0.402913048223,-0.644458940367,-0.266105038908,1.36387226485,-0.75052177707,-0.913420032367,0.552360740913
0.922647,0.40217496268,-0.643581906678,-0.265815404839,1.36434693808,-0.749402918039,-0.917153421635,0.552582863861
0.932631,0.401401764103,-0.642880068598,-0.26572195378,1.36515738476,-0.748339112994,-0.921047926917,0.552828976652
0.942615,0.400354047121,-0.642366146672,-0.265461001627,1.36565291828,-0.747292672632,-0.924812003215,0.552947800552
0.952599,0.399230416826,-0.641609206865,-0.265134135203,1.36602415027,-0.74631332514,-0.928571139775,0.552993874635
0.962583,0.398218394634,-0.640833378582,-0.264991103533,1.36650052007,-0.74543187276,-0.932190744799,0.552894827249
0.972567,0.397363724503,-0.640110917846,-0.264924370856,1.36710026118,-0.744810915322,-0.935636391241,0.55280112109
0.982551,0.396557175574,-0.639420706251,-0.264743402839,1.36766144697,-0.744387135952,-0.939000020876,0.552875104873
0.992535,0.395772948795,-0.638759011138,-0.264404815341,1.36812600469,-0.743939653174,-0.942246176537,0.553136926593
1.002519,0.395088250253,-0.638076282777,-0.264067125611,1.36862089441,-0.74335653117,-0.945262221787,0.553509337173
1.012503,0.394311078527,-0.637125129016,-0.263965544838,1.36913728069,-0.742729090214,-0.948313145406,0.553981511107
1.022487,0.393328029065,-0.63610465485,-0.264049425109,1.36965711423,-0.742156577956,-0.950997942465,0.554343242723
1.032471,0.392148554026,-0.63502737732,-0.263587499605,1.37021039381,-0.741864413467,-0.953325765783,0.554628380997
1.042455,0.391003117052,-0.634054820557,-0.263109270546,1.37057202768,-0.74169053661,-0.955595315848,0.554962979232
1.052439,0.389966033124,-0.633012287267,-0.26268868348,1.37077625458,-0.741432491606,-0.9578310936,0.555095564027
1.062423,0.388964095285,-0.632071069989,-0.262405762065,1.37102115267,-0.741272422192,-0.960018887716,0.555178594363
1.072407,0.388047011216,-0.631195083201,-0.262326345939,1.37141393452,-0.741101859814,-0.96225947415,0.555339012501
1.082390,0.387159636909,-0.630301435931,-0.262292405251,1.37188265411,-0.740790088076,-0.964594192614,0.555557774857
1.092374,0.386118996414,-0.62945270482,-0.262097792022,1.37226687002,-0.740579762277,-0.966962589268,0.55581798768
1.102358,0.385025762997,-0.628612762541,-0.261975337013,1.37249553477,-0.740911174258,-0.969400238958,0.556242049703
1.112342,0.384122146007,-0.627396198893,-0.261947380951,1.37265453511,-0.741767373654,-0.971707065692,0.556758262977
1.122326,0.38295417852,-0.626132931121,-0.261870595305,1.37263810217,-0.742467816958,-0.97382985788,0.556936517711
1.132310,0.381595998347,-0.625066707591,-0.261838064397,1.37270608654,-0.74306917923,-0.975837570442,0.556964299331
1.142294,0.38022914993,-0.624094341833,-0.262017218502,1.37277007545,-0.744205958315,-0.978108036373,0.55699799226
1.152278,0.378986885699,-0.62314082513,-0.262149057761,1.37281682724,-0.745625829417,-0.980542613737,0.556986572224
1.162262,0.377807513962,-0.622163675436,-0.262023777274,1.37299146727,-0.746839809032,-0.982774236567,0.556877621825
1.172246,0.376569334885,-0.621099436099,-0.261718621632,1.37334334096,-0.747670631632,-0.984749897,0.556724023275
1.182230,0.375138367757,-0.619958263875,-0.261432011905,1.37372972637,-0.748374618601,-0.986786882084,0.55662103323
1.192214,0.373396154101,-0.618959855003,-0.261141908724,1.37399863886,-0.74933326308,-0.989039959786,0.556603479155
1.202198,0.371879620944,-0.618228642513,-0.260725609561,1.37407470379,-0.75060850257,-0.991361122857,0.556844103792
1.212182,0.370725863232,-0.617475525131,-0.260218499909,1.37433351847,-0.751891244383,-0.993797767588,0.557009665805
1.222166,0.369337346949,-0.616815970113,-0.25982678923,1.3747697545,-0.753371543161,-0.996258019564,0.556913669747
1.232150,0.368283210117,-0.616277553136,-0.259655022621,1.37532350858,-0.75486443346,-0.998742390049,0.556944271407
1.242133,0.367424549221,-0.615689454202,-0.259570840642,1.37593048291,-0.75610939435,-1.00127287284,0.557059933125
1.252117,0.366076379582,-0.614973588107,-0.259450777089,1.3765393392,-0.757017371653,-1.00379802411,0.557183068865
1.262101,0.364332437348,-0.614122787151,-0.25928191062,1.37712632613,-0.757760092709,-1.00629452084,0.557113173665
1.272085,0.362859117428,-0.61326798887,-0.259141419316,1.37768912202,-0.758589095352,-1.0088415942,0.556772872879
1.282069,0.361591056383,-0.612654502612,-0.259104831338,1.37827935479,-0.759575916366,-1.01155330441,0.556556600316
1.292053,0.360120447286,-0.611995849314,-0.259161793628,1.37915896232,-0.760671307795,-1.01437422227,0.556792253595
1.302037,0.358630770141,-0.61142477555,-0.259420825766,1.38030828512,-0.761685164567,-1.01736970707,0.556877307361
1.312021,0.35701400502,-0.61114584396,-0.259678606501,1.38134687635,-0.76250209911,-1.0204708303,0.556593335853
1.322005,0.355416256787,-0.610987590213,-0.259709715435,1.38237857617,-0.763258211311,-1.02361550554,0.556463976713
1.331989,0.353869328534,-0.610565481231,-0.259669124455,1.38344096005,-0.76384820045,-1.02683027868,0.556622353506
1.341973,0.352342781043,-0.610049680199,-0.259663323338,1.38448569652,-0.764331057857,-1.03019189842,0.556756755417
1.351957,0.350875309129,-0.609736372453,-0.259682857676,1.38546234593,-0.764930637247,-1.03373409716,0.556656626575
1.361941,0.349529742204,-0.609626939959,-0.259688184413,1.38636730774,-0.765734314121,-1.03737384315,0.556450261499
1.371925,0.348196013604,-0.609440976446,-0.25966854613,1.38730551993,-0.766541289546,-1.04093986914,0.556385105697
1.381909,0.346454301069,-0.609024614694,-0.259547899426,1.38862124645,-0.767330410086,-1.04435680094,0.556453879679
1.391893,0.344043959158,-0.608538071203,-0.259414379262,1.39017198267,-0.768221419001,-1.04788640026,0.556446911188
1.401877,0.341736378678,-0.608289635204,-0.259268060103,1.39143493727,-0.769313269929,-1.05164752461,0.556378883049
1.411860,0.340131619626,-0.608096415819,-0.259052892836,1.39243991408,-0.770218717802,-1.05540806878,0.556252712133
1.421844,0.338864627277,-0.607716936048,-0.25857274274,1.39360913092,-0.770797612798,-1.05892635367,0.556192113928
1.431828,0.337110461745,-0.607312365578,-0.257864648829,1.39507563856,-0.77142208547,-1.06225075511,0.556260801001
1.441812,0.334830890706,-0.607141051885,-0.257209597458,1.39663742651,-0.772231852314,-1.06567697754,0.556294206298
1.451796,0.33256729869,-0.607194401533,-0.256764748819,1.3980481878,-0.773164404995,-1.06927434171,0.55613472026
1.461780,0.330541772587,-0.607141784395,-0.256288673823,1.39927601728,-0.774360511288,-1.07268330793,0.555914150525
1.471764,0.32852466762,-0.606724834422,-0.25544639356,1.40043631673,-0.776012738952,-1.07575748085,0.555895931315
1.481748,0.326326177602,-0.606260234815,-0.254557148667,1.40175350025,-0.777459579287,-1.07873543132,0.555875207767
1.491732,0.324085275612,-0.605878104271,-0.253922924572,1.4028380863,-0.77857702162,-1.08184109819,0.555765071029
1.501716,0.321931497342,-0.605547831393,-0.253294134565,1.40369235341,-0.779996072856,-1.08506041082,0.555765297062
1.511700,0.319779011464,-0.605182678799,-0.252535054956,1.40464530546,-0.78219531216,-1.08803314302,0.555760320398
1.521684,0.31754341498,-0.604737373345,-0.251881478338,1.405637401,-0.784684014902,-1.0906594335,0.555686773446
1.531668,0.315250886103,-0.604316959592,-0.251391779621,1.40652178337,-0.786909891808,-1.09306603202,0.55564976281
1.541652,0.31290059797,-0.60399617161,-0.250828492425,1.40732640237,-0.789043709854,-1.09530929201,0.555715491221
1.551636,0.310393421325,-0.603721200607,-0.249972072169,1.40817674249,-0.791665599408,-1.09725812942,0.555760793171
